	ALT_D2S	Alt_Count	Alt_Density	Alt_WESA_PEEPS	Count	CountNum	D2S	Date	Day	Density	FurtherCounts	Group	ID	Map	Method	Month	Observations	RecordID	Site	SiteID	Source	Time	Time_Duplicate	WESA_PEEPS	Year
80					0	1	5 m				Yes	Wesa	WITT2013817_W1			8	Because of the complex shoreline of the lagoon, calculating an average distance was impossible. I therefore chose one location near the observation point that seemed fairly representative to monitor. However, it turned out that it did not change as much as some other locations in the little bay north of the observation point.	WITT2013817		WITT	Online	700			
81						1						Wesa	WITT2013818_W1			8		WITT2013818		WITT	Online				
82					0	1	5 m				Yes	Wesa	WITT2013819_W1			8		WITT2013819		WITT	Online	09:00			
83						1						Wesa	BB042013816_W1			8		BB042013816		BB04	Online				
84					50	1	0			Dense	Yes	Wesa	EIDE2013818_W1	Leque Island - 8-18-13.pdf	Block Estimates	8	In flight swirling around the ponds	EIDE2013818		EIDE	Online	14:00			
85						1						Wesa	BB042013817_W1			8		BB042013817		BB04	Online				
86					15 at West end of area	1	650m			Spread-out	Yes	Wesa	BB042013818_W1	Boundary Bay 104 #1	Direct Counts	8	This is an estimate as I could only count them as they flew in with about 300 BBPL plus other shorebirds.   They were too far away and there was too much haze for a very accurate count.  	BB042013818		BB04	Online	14:30			
87						1						Wesa	PEDD2013817_W1			8		PEDD2013817		PEDD	Online				
88						1						Wesa	PEDD2013818_W1			8		PEDD2013818		PEDD	Online				
89						1						Wesa	BBSV2013720_W1			7		BBSV2013720		BBSV	Online				
90					4	1	100-200 Meters				Yes	Wesa	BBSV2013721_W1		Direct Counts	7	WESA were hanging out among a small flock of Killdeer	BBSV2013721		BBSV	Online	1530			
91					10	1	5				Yes	Wesa	BBSV2013817_W1		Direct Counts	8		BBSV2013817		BBSV	Online	1415			
92						1						Wesa	BBSV2013818_W1			8		BBSV2013818		BBSV	Online				
93					100-150	1	200 metres			Spread-out	Yes	Wesa	COMX2013817_W1	17Aug2013	Block Estimates	8	"There were no WESA flights till 1045. This is when I realized that WESA were feeding in the ""mud flats"". Spotted them with binocs, they probably were there from the beginning. Because no flocks were spotted till 1045 when they began to fly about in small numbers (6-10)."	COMX2013817		COMX	Online	1045			
94					313	1	200m			Medium-Thick	Yes	Wesa	COMX2013818_W1		Direct Counts	8	"The flock flew in from the right and landed on the ""mud flats"".
counted the WESA on IMG1703 & IMG1704. Assumed the flock came in from the Courtenay river flats.

Last report listed that I sent in a map. Well did not do it because don't know were to send it!"	COMX2013818		COMX	Online	1115			
95						1						Wesa	GRIC2013816_W1			8		GRIC2013816		GRIC	Online				
96					0	1	20 - 500m				Yes	Wesa	FANY2013817_W1	mailed (snail)		8		FANY2013817		FANY	Online	12:00			
97					0	1	50 - 600m				Yes	Wesa	FANY2013818_W1			8		FANY2013818		FANY	Online	12:30			
98					0	1	1km +/-				Yes	Wesa	BB722013818_W1			8		BB722013818		BB72	Online	1415			
99						1						Wesa	ISVI2013816_W1			8		ISVI2013816		ISVI	Online				
100						1						Wesa	ISVI2013817_W1			8		ISVI2013817		ISVI	Online				
101					9	1	100 metres			Dense	No	Wesa	ISVI2013818_W1		Direct Counts	8	"Feeding amongst large boulders which were covered with sea weed at waters edge.

Searched for Falcons but there were none seen."	ISVI2013818		ISVI	Online	08:05			
102					0	1	100				Yes	Wesa	SDNY2013720_W1			7		SDNY2013720		SDNY	Online	1100			
103					0	1	150 m				Yes	Wesa	SDNY2013721_W1	map in the mail to you		7		SDNY2013721		SDNY	Online	1200			
104					0	1	30 m from brick dock (shore is quite steep here)				Yes	Wesa	SDNY2013817_W1			8		SDNY2013817		SDNY	Online	1100			
105					0	1	100 m				Yes	Wesa	SDNY2013818_W1			8		SDNY2013818		SDNY	Online	1200			
106						1						Wesa	SQUA2013817_W1			8		SQUA2013817		SQUA	Online				
107						1						Wesa	PANM2013719_W1			7		PANM2013719		PANM	Online				
108						1						Wesa	PANM2013720_W1			7		PANM2013720		PANM	Online				
109						1						Wesa	PANM2013721_W1			7		PANM2013721		PANM	Online				
110						1						Wesa	PANM2013722_W1			7		PANM2013722		PANM	Online				
111						1						Wesa	VRYL2013817_W1			8		VRYL2013817		VRYL	Online				
112						1						Wesa	VRYL2013818_W1			8		VRYL2013818		VRYL	Online				
113						1						Wesa	ROGH2013720_W1			7		ROGH2013720		ROGH	Online				
114						1						Wesa	ROGH2013721_W1			7		ROGH2013721		ROGH	Online				
115					280	1	120 m			Spread-out	Yes	Wesa	ROGH2013818_W1	Curry Map 2C	Block Estimates	8	Very spread out in loose groups feeding. 	ROGH2013818		ROGH	Online	1600			
116					90	1	100 m			Spread-out	Yes	Wesa	ROGH2013817_W1	Curry Map 1C	Direct Counts	8	Active feeding on mud flat in 2 flocks (75 and 15). No falcons observed prior to survey. 	ROGH2013817		ROGH	Online	1600			
117						1						Wesa	SHPO2013817_W1			8		SHPO2013817		SHPO	Online				
118						1						Wesa	SHPO2013818_W1			8		SHPO2013818		SHPO	Online				
119						1						Wesa	SHPO2013819_W1			8		SHPO2013819		SHPO	Online				
120						1						Wesa	WHIF2013818_W1			8		WHIF2013818		WHIF	Online				
121					150	1				Spread-out	Yes	Wesa	BB922013720_W1		Block Estimates	7		BB922013720		BB92	Online	14:00			
122					0	1					Yes	Wesa	BB922013721_W1			7		BB922013721		BB92	Online	14:45			
123						1						Wesa	COWC2013817_W1			8		COWC2013817		COWC	Online				
124						1						Wesa	COWC2013818_W1			8		COWC2013818		COWC	Online				
125					92	1	600			Medium dense	Yes	Wesa	SJEN2013719a_W1		Direct Counts	7		SJEN2013719a		SJEN	Online	18:45			
126						1						Wesa	GRIC2013720_W1			7		GRIC2013720		GRIC	Online				
127						1						Wesa	GRIC2013721_W1			7		GRIC2013721		GRIC	Online				
128						1						Wesa	PEDD2013816_W1			8		PEDD2013816		PEDD	Online				
129					0	2	1km +/-				Yes	Wesa	BB722013720_W2			7	Zero birds	BB722013720		BB72	Online	1415			
130					17	2	45m			Dense	Yes	Wesa	ENBO2013721_W2		Direct Counts	7	Flying left to right	ENBO2013721		ENBO	Online	1:30 PM			
131						2						Wesa	KALE2013720_W2			7		KALE2013720		KALE	Online				
132						2						Wesa	COMX2013720_W2			7		COMX2013720		COMX	Online				
133						2						Wesa	COMX2013721_W2			7		COMX2013721		COMX	Online				
134						2					Yes	Wesa	NANO2013720_W2			7	"Zero Sandpipers
2 Merlins"	NANO2013720		NANO	Online	11:15			
135						2						Wesa	NANO2013721_W2			7		NANO2013721		NANO	Online				
136					0	2	500				Yes	Wesa	IONA2013719_W2		Direct Counts	7		IONA2013719		IONA	Online	1345			
137					0	2	1.5 km				Yes	Wesa	IONA2013720_W2			7		IONA2013720		IONA	Online	1400			
138					0	2	>2km				Yes	Wesa	IONA2013721_W2			7		IONA2013721		IONA	Online	1400			
139						2						Wesa	COWC2013719_W2			7		COWC2013719		COWC	Online				
140						2						Wesa	COWC2013720_W2			7		COWC2013720		COWC	Online				
141					0	2	300 m				Yes	Wesa	ESQU2013722_W2		Direct Counts	7	No subject birds.  Fog approaching.	ESQU2013722		ESQU	Online	1115			
142						2						Wesa	MAPL2013719_W2			7		MAPL2013719		MAPL	Online				
143						2						Wesa	MAPL2013720_W2			7		MAPL2013720		MAPL	Online				
